Member,G_N_kN,G_V_kN,G_M_kNm,Q_N_kN,Q_V_kN,Q_M_kNm,E_N_kN,E_V_kN,E_M_kNm
1,192.83,3.93,5.97,61.45,1.37,2.08,55.20,27.08,77.92
1,192.83,3.93,4.00,61.45,1.37,1.39,55.20,27.08,64.38
1,192.83,3.93,2.04,61.45,1.37,0.71,55.20,27.08,50.84
1,192.83,3.93,0.07,61.45,1.37,0.03,55.20,27.08,37.30
1,192.83,3.93,1.89,61.45,1.37,0.66,55.20,27.08,23.76
1,192.83,3.93,3.86,61.45,1.37,1.34,55.20,27.08,10.22
1,192.83,3.93,5.82,61.45,1.37,2.03,55.20,27.08,3.33
1,192.83,3.93,7.79,61.45,1.37,2.71,55.20,27.08,16.87
1,192.83,3.93,9.75,61.45,1.37,3.40,55.20,27.08,30.41
1,192.83,3.93,11.72,61.45,1.37,4.08,55.20,27.08,43.95
2,401.19,0.26,0.37,127.55,0.10,0.14,6.90,33.36,87.37
2,401.19,0.26,0.24,127.55,0.10,0.09,6.90,33.36,70.69
2,401.19,0.26,0.11,127.55,0.10,0.04,6.90,33.36,54.01
2,401.19,0.26,0.02,127.55,0.10,0.01,6.90,33.36,37.33
2,401.19,0.26,0.15,127.55,0.10,0.06,6.90,33.36,20.65
2,401.19,0.26,0.28,127.55,0.10,0.10,6.90,33.36,3.97
2,401.19,0.26,0.42,127.55,0.10,0.15,6.90,33.36,12.71
2,401.19,0.26,0.55,127.55,0.10,0.20,6.90,33.36,29.38
2,401.19,0.26,0.68,127.55,0.10,0.25,6.90,33.36,46.06
2,401.19,0.26,0.81,127.55,0.10,0.30,6.90,33.36,62.74
3,401.19,0.26,0.37,127.55,0.10,0.14,6.90,33.36,87.37
3,401.19,0.26,0.24,127.55,0.10,0.09,6.90,33.36,70.69
3,401.19,0.26,0.11,127.55,0.10,0.04,6.90,33.36,54.01
3,401.19,0.26,0.02,127.55,0.10,0.01,6.90,33.36,37.33
