Section,G_kg_m,h_mm,b_mm,tw_mm,tf_mm,A_cm2,Iy_cm4,Wely_cm3,Wply_cm3,iy_cm,Avz_cm2
HE100A,16.7,96.0,100.0,5.0,8.0,21.2,349.2,72.8,83.0,4.1,7.6
HE100B,20.4,100.0,100.0,6.0,10.0,26.0,449.5,89.9,104.2,4.2,9.0
HE100M,41.8,120.0,106.0,12.0,20.0,53.2,1143.0,190.4,235.8,4.6,18.0
HE120A,19.9,114.0,120.0,5.0,8.0,25.3,606.2,106.3,119.5,4.9,8.5
HE120B,26.7,120.0,120.0,6.5,11.0,34.0,864.4,144.1,165.2,5.0,11.0
HE120M,52.1,140.0,126.0,12.5,21.0,66.4,2018.0,288.2,350.6,5.5,21.2
HE140A,24.7,133.0,140.0,5.5,8.5,31.4,1033.0,155.4,173.5,5.7,10.1
HE140B,33.7,140.0,140.0,7.0,12.0,43.0,1509.0,215.6,245.4,5.9,13.1
HE140M,63.2,160.0,146.0,13.0,22.0,80.6,3291.0,411.4,493.8,6.4,24.5
HE160A,30.4,152.0,160.0,6.0,9.0,38.8,1673.0,220.1,245.1,6.6,13.2
HE160B,42.6,160.0,160.0,8.0,13.0,54.3,2492.0,311.5,354.0,6.8,17.6
HE160M,76.2,180.0,166.0,14.0,23.0,97.1,5098.0,566.5,674.6,7.3,30.8
HE180A,35.5,171.0,180.0,6.0,9.5,45.3,2510.0,293.6,324.9,7.5,14.5
HE180B,51.2,180.0,180.0,8.5,14.0,65.3,3831.0,425.7,481.4,7.7,20.2
HE180M,88.9,200.0,186.0,14.5,24.0,113.3,7483.0,748.3,883.4,8.1,34.7
HE200A,42.3,190.0,200.0,6.5,10.0,53.8,3692.0,388.6,429.5,8.3,18.1
HE200B,61.3,200.0,200.0,9.0,15.0,78.1,5696.0,569.6,642.5,8.5,24.8
HE200M,103.0,220.0,206.0,15.0,25.0,131.3,10640.0,967.4,1135.0,9.0,41.0
HE220A,50.5,210.0,220.0,7.0,11.0,64.3,5410.0,515.2,568.5,9.2,20.7
HE220B,71.5,220.0,220.0,9.5,16.0,91.0,8091.0,735.5,827.0,9.4,27.9
HE220M,117.0,240.0,226.0,15.5,26.0,149.4,14600.0,1217.1,1419.0,9.9,45.3
HE240A,60.3,230.0,240.0,7.5,12.0,76.8,7763.0,675.1,744.6,10.1,25.2
HE240B,83.2,240.0,240.0,10.0,17.0,106.0,11260.0,938.3,1053.0,10.3,33.2
HE240M,157.0,270.0,248.0,18.0,32.0,199.6,24290.0,1799.2,2117.0,11.0,60.1
HE260A,68.2,250.0,260.0,7.5,12.5,86.8,10450.0,836.4,919.8,11.0,28.8
HE260B,93.0,260.0,260.0,10.0,17.5,118.4,14920.0,1147.6,1283.0,11.2,37.6
HE260M,172.0,290.0,268.0,18.0,32.5,219.6,31310.0,2159.1,2524.0,11.9,66.9
HE280A,76.4,270.0,280.0,8.0,13.0,97.3,13670.0,1012.8,1112.0,11.9,31.7
HE280B,103.0,280.0,280.0,10.5,18.0,131.4,19270.0,1376.4,1534.0,12.1,41.1
