longitude,latitude,year,month,day,hour,minute,second,magnitude,depth,eventID,sigmaMagnitude,depthError,ErrorStrike,SemiMinor90,SemiMajor90,timeError,Identifier,Agency
4.237,50.183,1000,3,29,0,0,0,3.73,8,210,,,,,,,,
38.8,37.1,1003,3,21,0,0,0,6.21,8,360,,,,,,,,
11.879,43.463,1005,1,1,0,0,0,5.2,8,500,,,,,,,,
13.831,41.488,1005,1,1,0,0,0,5.2,8,600,,,,,,,,
28.98,41.008,1010,1,1,0,0,0,5.44,8,900,,,,,,,,
28.8,40.8,1010,3,9,0,0,0,5.88,8,1000,,,,,,,,
5.583,50.65,1013,11,18,0,0,0,3.48,8,1210,,,,,,,,
0.15,45.65,1014,1,1,0,0,0,5.44,8,1300,,,,,,,,
43.76,40.66,1016,1,1,0,0,0,6.09,8,1410,,,,,,,,
14.777,41.129,1019,4,1,0,0,0,4.72,8,1600,,,,,,,,
10.576,48.073,1021,5,12,0,0,0,3.85,8,1810,,,,,,,,
28.98,41.008,1026,12,4,0,0,0,6.24,8,2000,,,,,,,,
43.11,36.33,1031,1,1,0,0,0,6.3,8,2070,,,,,,,,
28.98,41.008,1032,8,13,17,45,0,5.83,8,2200,,,,,,,,
28.98,41.008,1033,3,6,7,15,0,5.02,8,2300,,,,,,,,
9.409,51.778,1035,5,23,0,0,0,3.48,8,2410,,,,,,,,
29,41,1035,5,1,0,0,0,5.82,8,2450,,,,,,,,
38.8,37.1,1037,12,18,4,0,0,5.82,8,2650,,,,,,,,
28.98,41.008,1038,1,1,0,0,0,4.86,8,2700,,,,,,,,
27.137,38.416,1040,2,2,0,0,0,6.52,8,2900,,,,,,,,
28.98,41.008,1041,6,10,17,45,0,5.16,8,3100,,,,,,,,
14.777,41.129,1044,4,19,9,0,0,4.72,8,3200,,,,,,,,
39.5,39.75,1045,1,1,0,0,0,6.77,8,3220,,,,,,,,
43.5,40.5,1046,1,1,0,0,0,6.21,8,3290,,,,,,,,
-1.036,38.037,1048,1,1,0,0,0,5.49,8,3400,,,,,,,,
11.393,48.494,1048,10,13,0,0,0,3.48,8,3500,,,,,,,,
35.85,40.65,1050,8,4,0,0,0,6.21,8,3750,,,,,,,,
36.1,36.25,1053,1,1,0,0,0,6.21,8,3805,,,,,,,,
43.1,36.3,1058,1,1,0,0,0,6.21,8,3820,,,,,,,,
43.11,36.33,1058,12,2,0,0,0,6.9,8,3830,,,,,,,,
27.411,40.867,1063,9,23,0,0,0,7.14,8,4000,,,,,,,,
29.728,40.433,1065,1,1,0,0,0,6.72,8,4100,,,,,,,,
10.214,45.544,1065,3,27,11,25,0,5.3,8,4200,,,,,,,,
3.133,48.317,1076,4,22,0,0,0,3.48,8,4380,,,,,,,,
3.217,47.6,1079,7,17,0,0,0,3.48,8,4600,,,,,,,,
-5.991,37.387,1079,9,1,0,0,0,5.11,8,4700,,,,,,,,
8.267,50,1080,12,1,0,0,0,5.44,8,4800,,,,,,,,
4.568,50.654,1081,3,27,0,0,0,3.65,8,5000,,,,,,,,
-0.1,47.025,1083,3,21,0,0,0,3.48,8,5010,,,,,,,,
16.864,41.128,1087,9,10,0,0,0,4.96,8,5100,,,,,,,,
8.267,50,1088,5,11,0,0,0,3.48,8,5210,,,,,,,,
43.4,41.4,1088,8,16,0,0,0,6.2,8,5305,,,,,,,,
28.8,40.8,1090,12,6,10,0,0,6.26,8,5400,,,,,,,,
12.482,41.895,1091,1,27,0,0,0,5.14,8,5600,,,,,,,,
-1.6,48.8,1091,11,2,0,0,0,3.48,8,5650,,,,,,,,
36.1,36.25,1091,9,1,0,0,0,5.82,8,5660,,,,,,,,
21,48,1092,6,26,0,0,0,5.77,8,5800,,,,,,,,
14.777,41.129,1094,1,14,0,0,0,4.72,8,6100,,,,,,,,
-0.1,47.025,1098,10,4,0,0,0,3.48,8,6600,,,,,,,,
26.6,45.7,1107,2,12,3,0,0,7.1,150,7200,,,,,,,,
43.5,38.5,1111,1,1,0,0,0,6.21,8,7360,,,,,,,,
6.1,50.767,1112,4,20,0,0,0,3.48,8,7420,,,,,,,,
35.5,36.5,1114,8,10,0,0,0,6.77,8,7805,,,,,,,,
36.9,37.6,1114,11,29,0,0,0,6.21,8,7807,,,,,,,,
11.023,45.309,1117,1,3,15,15,0,6.67,8,8000,,,,,,,,
13.917,41.377,1120,3,25,0,0,0,5.72,8,8400,,,,,,,,
5.4,50.667,1121,12,10,0,0,0,3.48,8,8500,,,,,,,,
26.6,45.7,1122,10,1,0,0,0,6.2,150,8600,,,,,,,,
15.285,37.082,1125,6,7,11,0,0,5.8,8,8800,,,,,,,,
14.997,41.599,1125,10,11,0,0,0,5.6,8,8900,,,,,,,,
26.6,45.7,1126,8,8,0,0,0,7.1,150,9100,,,,,,,,
8.133,47.767,1127,3,25,0,0,0,3.48,8,9200,,,,,,,,
13.851,48.694,1127,4,13,0,0,0,3.48,8,9210,,,,,,,,
9.132,48.364,1128,6,29,0,0,0,3.48,8,9400,,,,,,,,
43.57,40.5,1131,11,28,0,0,0,6.2,8,9470,,,,,,,,
-2.1,51.59,1133,8,4,0,0,0,3,10,9550,,,,,,,,
8.133,47.767,1134,1,12,0,0,0,3.48,8,9600,,,,,,,,
43.11,36.33,1137,10,1,0,0,0,6.6,8,9715,,,,,,,,
45,40.5,1139,1,1,0,0,0,6.21,8,9780,,,,,,,,
14.777,41.129,1139,1,22,0,0,0,4.54,8,9800,,,,,,,,
6.1,50.767,1141,4,24,0,0,0,3.48,8,10010,,,,,,,,
0.933,49.483,1142,1,7,0,0,0,4.24,10,10100,,,,,,,,
29.067,40.183,1143,11,26,0,0,0,6.07,8,10200,,,,,,,,
-9.2,38.7,1146,1,1,0,0,0,4.46,8,10300,,,,,,,,
43.1,40.6,1151,1,1,0,0,0,6.21,8,10499,,,,,,,,
11.249,43.777,1148,1,1,0,0,0,5.15,8,10500,,,,,,,,
4.667,46.433,1155,1,18,0,0,0,5.44,8,10540,,,,,,,,
13.215,41.747,1160,10,15,0,0,0,5.14,8,10600,,,,,,,,
13.334,41.568,1161,1,16,6,0,0,5.14,8,10610,,,,,,,,
6.95,50.933,1167,1,20,0,0,0,3.48,8,10710,,,,,,,,
39.5,39.75,1168,1,1,0,0,0,6.21,8,10715,,,,,,,,
10.401,43.716,1168,1,10,0,0,0,4.54,8,10720,,,,,,,,
-4.414,37.964,1169,1,1,0,0,0,5.85,8,10740,,,,,,,,
14.949,37.215,1169,2,4,7,0,0,6.46,8,10750,,,,,,,,
-0.55,47.467,1169,10,9,0,0,0,4.79,8,10760,,,,,,,,
13.334,41.568,1170,5,9,0,0,0,5.57,8,10840,,,,,,,,
15.549,38.187,1172,9,26,13,40,0,5.57,8,10845,,,,,,,,
15.1,44.2,1178,4,15,0,0,0,5.14,8,10860,,,,,,,,
5.808,50.829,1179,8,1,0,0,0,3.7,8,10870,,,,,,,,
8.898,44.419,1182,8,15,0,0,0,4.75,8,10910,,,,,,,,
32.4,34.75,1183,1,1,0,0,0,6.77,8,10923,,,,,,,,
10.994,45.438,1183,12,1,0,0,0,4.93,8,10930,,,,,,,,
16.194,39.395,1184,5,24,0,0,0,6.56,8,10940,,,,,,,,
-0.781,53.111,1185,4,15,0,0,0,4.29,10,10950,,,,,,,,
45,40.66,1187,1,1,0,0,0,6.2,8,10965,,,,,,,,
6.552,49.473,1189,2,28,0,0,0,3.48,8,10970,,,,,,,,
33.2,37.15,1190,6,1,0,0,0,6.21,8,10977,,,,,,,,
12.078,44.068,1194,1,1,0,0,0,4.99,8,10990,,,,,,,,
10.913,43.932,1196,1,1,0,0,0,4.75,8,11000,,,,,,,,
26.6,45.7,1196,2,13,7,0,0,7.5,150,11010,,,,,,,,
10.22,45.55,1197,1,1,0,0,0,5.03,8,11020,,,,,,,,
14.167,40.817,1198,1,1,0,0,0,5.17,8,11040,,,,,,,,
14.377,47.224,1201,5,4,0,0,0,5.83,8,11100,,,,,,,,
-2.72,50.95,1201,5,22,0,0,0,3.5,10,11104,,,,,,,,
22.2,40.52,1204,1,1,0,0,0,6.55,8,11107,,,,,,,,
42.5,38.7,1208,2,14,0,0,0,6.8,8,11118,,,,,,,,
-0.217,46.983,1208,6,13,0,0,0,3.48,8,11120,,,,,,,,
0.358,49.308,1214,12,20,0,0,0,3.48,8,11190,,,,,,,,
1.267,45.833,1216,3,3,0,0,0,4.79,8,11230,,,,,,,,
8.898,44.419,1217,1,8,0,0,0,4.54,8,11240,,,,,,,,
32.5,34.5,1222,5,11,6,0,0,6.8,8,11275,,,,,,,,
10.697,45.313,1222,12,25,12,30,0,5.95,8,11280,,,,,,,,
15.981,41.874,1223,1,1,0,0,0,5.84,8,11290,,,,,,,,
6.934,50.867,1223,1,11,0,0,0,4.87,8,11320,,,,,,,,
43.11,36.33,1225,3,4,0,0,0,6,8,11355,,,,,,,,
6.016,53.401,1225,10,27,0,0,0,4.79,8,11370,,,,,,,,
15.647,38.108,1230,4,5,0,0,0,4.54,8,11450,,,,,,,,
26.6,45.7,1230,5,10,7,0,0,7.3,150,11455,,,,,,,,
28.8,40.783,1231,3,11,0,0,0,6.81,8,11460,,,,,,,,
13.831,41.488,1231,6,1,11,0,0,5.35,8,11470,,,,,,,,
11.618,44.836,1234,3,20,0,0,0,5.15,8,11510,,,,,,,,
39.5,39.75,1236,1,1,0,0,0,5.82,8,11513,,,,,,,,
11.297,48.379,1237,9,16,0,0,0,3.66,8,11530,,,,,,,,
7.19,47.552,1239,9,18,0,0,0,3.48,8,11540,,,,,,,,
-0.367,49.183,1241,9,23,0,0,0,4.24,10,11560,,,,,,,,
11.549,45.549,1242,10,24,0,0,0,4.51,8,11570,,,,,,,,
12.736,42.732,1246,1,1,0,0,0,5.36,8,11620,,,,,,,,
23.3,35.4,1246,1,1,0,0,0,7,8,11630,,,,,,,,
42.3,38.4,1246,1,1,0,0,0,6.2,8,11632,,,,,,,,
-0.124,51.49,1247,2,13,0,0,0,4,10,11645,,,,,,,,
-5.376,53.125,1247,2,20,0,0,0,5.87,20,11650,,,,,,,,
-2.66,51.2,1248,12,23,0,0,0,4,10,11700,,,,,,,,
10.334,48.754,1249,8,16,0,0,0,3.48,8,11720,,,,,,,,
10.925,44.647,1249,9,1,0,0,0,5.11,8,11730,,,,,,,,
22.384,38.377,1250,1,1,0,0,0,6.6,8,11735,,,,,,,,
39,40,1254,10,14,0,0,0,6.21,8,11739,,,,,,,,
15.549,38.187,1255,11,17,10,0,0,4.93,8,11740,,,,,,,,
-0.605,38.824,1258,3,1,0,0,0,5.9,8,11790,,,,,,,,
17.405,50.114,1259,1,31,0,0,0,4.14,8,11810,,,,,,,,
43.2,41.4,1261,1,1,0,0,0,6.2,8,11822,,,,,,,,
43.11,36.33,1262,1,1,0,0,0,6.3,8,11826,,,,,,,,
27.63,40.63,1265,8,11,0,0,0,6.07,8,11840,,,,,,,,
15.449,47.505,1267,5,8,0,0,0,5.09,8,11870,,,,,,,,
35.8,37.35,1268,1,1,0,0,0,6.77,8,11885,,,,,,,,
40.4,39.75,1268,1,1,0,0,0,6.77,8,11887,,,,,,,,
12.079,45.735,1268,11,4,0,0,0,5.36,8,11890,,,,,,,,
12.074,43.591,1269,6,17,0,0,0,5.35,8,11895,,,,,,,,
13.565,43.558,1269,9,1,0,0,0,5.58,8,11900,,,,,,,,
12.141,43.57,1270,1,1,0,0,0,5.36,8,11910,,,,,,,,
19.446,41.314,1270,3,1,0,0,0,6.69,8,11915,,,,,,,,
15.805,40.638,1273,12,18,0,0,0,5.8,8,11940,,,,,,,,
-2.603,51.157,1275,9,11,0,0,0,5.1,7,12000,,,,,,,,
42.63,38.82,1275,10,3,0,0,0,7.1,8,12003,,,,,,,,
13.942,40.743,1275,11,2,0,0,0,5.78,8,12005,,,,,,,,
12.091,42.721,1276,5,22,0,0,0,5.57,8,12020,,,,,,,,
9.558,45.085,1276,7,29,18,30,0,4.76,8,12030,,,,,,,,
12.736,42.732,1277,1,1,0,0,0,5.57,8,12040,,,,,,,,
19.92,39.624,1278,2,25,0,0,0,6.6,8,12110,,,,,,,,
13.4,45.93,1279,4,24,17,0,0,5.37,8,12150,,,,,,,,
11.922,44.129,1279,4,30,0,0,0,5.55,8,12160,,,,,,,,
12.872,43.093,1279,4,30,18,0,0,6.32,8,12180,,,,,,,,
10.682,44.817,1280,1,25,0,0,0,4.51,8,12210,,,,,,,,
15.22,44.133,1280,4,5,0,0,0,4.72,8,12220,,,,,,,,
39.5,39.75,1281,1,1,0,0,0,5.42,8,12262,,,,,,,,
43,41.6,1283,4,17,0,0,0,6.8,8,12295,,,,,,,,
12.335,45.438,1284,1,17,15,30,0,4.99,8,12300,,,,,,,,
11.618,44.836,1285,12,13,0,0,0,5.11,8,12320,,,,,,,,
11.678,42.88,1287,1,1,0,0,0,4.96,8,12350,,,,,,,,
35.75,35.6,1287,1,1,0,0,0,6.21,8,12351,,,,,,,,
39.5,39.75,1287,5,8,0,0,0,6.21,8,12361,,,,,,,,
39.5,39.75,1289,1,1,0,0,0,5.82,8,12371,,,,,,,,
7.75,48.583,1289,9,24,0,0,0,4.38,8,12390,,,,,,,,
35.75,35.6,1290,1,1,0,0,0,5.42,8,12398,,,,,,,,
39.5,39.75,1290,1,1,0,0,0,5.42,8,12399,,,,,,,,
-9.2,38.7,1290,1,1,0,0,0,4.46,8,12410,,,,,,,,
0.05,48.992,1291,2,14,0,0,0,3.48,8,12420,,,,,,,,
10.913,43.932,1293,3,1,0,0,0,5.57,8,12480,,,,,,,,
14.548,41.304,1293,9,4,0,0,0,5.81,8,12490,,,,,,,,
9.54,46.78,1295,9,3,0,0,0,6.21,8,12550,,,,,,,,
29,40.8,1296,6,1,20,0,0,6.02,8,12570,,,,,,,,
27.432,39.089,1296,7,17,21,0,0,6.91,8,12600,,,,,,,,
12.867,42.404,1298,11,30,0,0,0,4.51,8,12650,,,,,,,,
12.903,42.576,1298,12,1,0,0,0,6.13,8,12670,,,,,,,,
-0.219,51.995,1299,1,4,0,0,0,4.37,20,12690,,,,,,,,
22.9,37.9,1300,1,1,0,0,0,6,8,12700,,,,,,,,
13.431,46.093,1301,6,11,4,0,0,4.3,8,12790,,,,,,,,
25.797,35.717,1303,8,8,3,30,0,8.26,8,12870,,,,,,,,
8.954,45.352,1304,12,18,2,0,0,4.51,8,12890,,,,,,,,
10.149,45.01,1304,10,23,0,45,0,4.99,8,12925,,,,,,,,
10.505,43.843,1306,7,1,0,0,0,4.75,8,12960,,,,,,,,
12.567,44.059,1308,1,25,17,15,0,5.36,8,12970,,,,,,,,
-11,36,1309,2,22,5,30,0,7,8,12980,,,,,,,,
15.667,38.25,1310,1,1,0,0,0,5.17,8,13010,,,,,,,,
7.327,44.885,1311,1,1,0,0,0,4.36,8,13020,,,,,,,,
13.396,42.356,1315,12,3,0,0,0,5.99,8,13080,,,,,,,,
1.803,48.38,1316,9,10,0,0,0,3.74,8,13090,,,,,,,,
