T,1-LomaPrieta,2-WhittierNarrows-02,3-ImperialValley-06,4-DuzceTurkey,5-Chi-ChiTaiwan,6-VictoriaMexico,7-Northridge-01,8-HectorMine,9-Chi-ChiTaiwan-05,10-Chi-ChiTaiwan-06
0,0.207319,0.0654266,0.109931,0.822429,0.0695107,0.0684822,0.124708,0.0818445,0.0718777,0.115983
0.05,0.241833027,0.078374266,0.132566581,0.9079778,0.072134642,0.074228229,0.129306445,0.087639374,0.083226691,0.133465898
0.1,0.305467321,0.141053548,0.232657717,1.066424502,0.09379337,0.128489257,0.174220107,0.109099672,0.118180585,0.240554579
0.15,0.356807118,0.113660922,0.164396671,1.2129255,0.150664763,0.163346154,0.198102739,0.16475565,0.167523594,0.26957087
0.2,0.396091773,0.11161134,0.164450051,0.928331128,0.178003344,0.171267127,0.26189918,0.150732478,0.270010538,0.215659489
0.25,0.429032104,0.112182102,0.155717857,1.041599982,0.145066577,0.157808999,0.241869755,0.186661835,0.168270466,0.271111616
0.3,0.447110406,0.144901025,0.12984842,1.049093308,0.168268893,0.20402496,0.21464905,0.249860523,0.152699813,0.256189869
0.35,0.261732143,0.098747949,0.155342024,1.41220136,0.155141379,0.186165378,0.306253063,0.19521035,0.220190707,0.211059308
0.4,0.317904349,0.115070009,0.199347793,1.387762436,0.143878258,0.189085621,0.290140529,0.181930808,0.187450683,0.17747838
0.45,0.320451102,0.130341864,0.232612464,1.346155364,0.196357461,0.121821597,0.415185193,0.197777557,0.157108544,0.126102551
0.5,0.408271221,0.137145028,0.232556543,1.312324441,0.152002388,0.115380599,0.44626897,0.130035035,0.188416595,0.129616541
0.55,0.438632446,0.108458764,0.217810748,1.212589409,0.16783889,0.162130154,0.476472732,0.110876731,0.228236115,0.12363109
0.6,0.372501304,0.110186072,0.206976066,1.182279827,0.147396447,0.196062744,0.427463236,0.15121813,0.190539125,0.145872182
0.65,0.380493282,0.11726854,0.198062215,1.177098962,0.138457897,0.173628382,0.378966432,0.157427685,0.143405426,0.145162011
0.7,0.377252811,0.136451235,0.179874577,1.257624256,0.156566495,0.130571981,0.31426889,0.135894407,0.118085069,0.117900795
0.75,0.390456941,0.121879522,0.15557651,1.30714093,0.13670803,0.11814824,0.277387418,0.130308146,0.110981545,0.1005578
0.8,0.360523086,0.093772647,0.132855361,1.353121795,0.112928157,0.121140229,0.25942322,0.129836507,0.106267192,0.091582399
0.85,0.288210599,0.084918363,0.114613343,1.375692426,0.103834833,0.112931246,0.266153517,0.118676268,0.099202772,0.093660697
0.9,0.235228806,0.082170243,0.114147293,1.345986657,0.103837868,0.09460419,0.249502438,0.115678354,0.091906603,0.106380335
0.95,0.248022631,0.079156937,0.105443774,1.266365978,0.087028272,0.081158807,0.1966732,0.124067467,0.082129612,0.109758029
1,0.258298678,0.075344976,0.095456898,1.156286415,0.087234268,0.072983691,0.191886527,0.120454386,0.076853067,0.112524669
1.05,0.261334252,0.070149436,0.085988245,1.035891374,0.069707736,0.080210389,0.207049061,0.105289956,0.07771119,0.115804109
1.1,0.301149572,0.063584827,0.078659766,0.920770417,0.064893547,0.095830236,0.224141381,0.095857682,0.077756059,0.125294566
1.15,0.330075131,0.059382511,0.072509321,0.833624177,0.062040503,0.105936991,0.183940208,0.071572954,0.07417383,0.126963069
1.2,0.331968031,0.058982656,0.071164497,0.748438382,0.063476651,0.107065079,0.166433237,0.076793463,0.075792878,0.112093832
1.25,0.320237498,0.060688276,0.077342176,0.656998692,0.066084911,0.101974011,0.165718146,0.069541998,0.07712507,0.117599794
1.3,0.299717496,0.05998773,0.077174482,0.581845227,0.067080725,0.097983796,0.159151296,0.062598011,0.076099475,0.118160698
1.35,0.277334812,0.057180636,0.091820373,0.521107899,0.071042429,0.089807742,0.170612235,0.054443624,0.073838937,0.103075749
1.4,0.258335341,0.052799063,0.095327506,0.464479868,0.072723199,0.081781324,0.164512545,0.059244764,0.072347532,0.091375417
1.45,0.237055807,0.047944204,0.083989946,0.411958611,0.073862948,0.075372253,0.154381513,0.062192468,0.0707135,0.104768503
1.5,0.222009199,0.042607749,0.081966193,0.36356042,0.074709413,0.064076465,0.152536728,0.064271472,0.068737852,0.117193624
1.55,0.199309479,0.04114446,0.080475884,0.320038736,0.074111155,0.056464555,0.141109177,0.066794575,0.067174926,0.120128889
1.6,0.171395944,0.039617921,0.082867774,0.282752938,0.075137617,0.051690874,0.126789002,0.064536478,0.065667438,0.125351572
1.65,0.15095678,0.037811908,0.090907847,0.252683789,0.070767536,0.056281251,0.109079185,0.063012729,0.063319168,0.119330533
1.7,0.148118601,0.035900425,0.088471835,0.240575719,0.069527971,0.058460845,0.117628934,0.061577655,0.060244839,0.104324697
1.75,0.162546519,0.033661088,0.086668577,0.259205046,0.068034272,0.050488625,0.119396095,0.05972619,0.057406693,0.091912998
1.8,0.159934083,0.031380165,0.088757173,0.287027028,0.065491277,0.050014515,0.10770933,0.057664962,0.054696269,0.084332724
1.85,0.154118745,0.029060278,0.091659803,0.306163531,0.061797238,0.048093549,0.097587782,0.054402524,0.052427002,0.074371652
1.9,0.151959473,0.026578321,0.091655728,0.318609861,0.057412025,0.055277175,0.091709538,0.049418931,0.05030901,0.071361871
1.95,0.143526179,0.024411648,0.092806429,0.320733817,0.052932167,0.058248842,0.090356713,0.043285886,0.048300004,0.069438558
2,0.134421587,0.022092909,0.092002841,0.311631658,0.048737344,0.056571626,0.087694818,0.037101016,0.046165336,0.069721855
2.05,0.133134885,0.020010338,0.091543091,0.293074817,0.044930379,0.050055525,0.081067388,0.031820678,0.043964923,0.069741863
2.1,0.145258427,0.01818694,0.09351555,0.268877563,0.041437287,0.042794959,0.079004171,0.027773029,0.041504389,0.067068185
2.15,0.160573476,0.016402698,0.092384569,0.239766643,0.038115878,0.041414856,0.07872807,0.025190231,0.03945811,0.065461397
2.2,0.179704223,0.014695893,0.092370572,0.20774294,0.034875378,0.044737801,0.083092999,0.024468907,0.037877568,0.065593709
2.25,0.193568908,0.013474572,0.093919272,0.177799093,0.031953072,0.048070792,0.089065696,0.022935951,0.03633996,0.064206555
2.3,0.200922632,0.012238255,0.089023789,0.160149769,0.029908999,0.045694102,0.089009923,0.020617181,0.03496338,0.061183629
2.35,0.211056223,0.011069983,0.081801564,0.150056689,0.028080199,0.040642625,0.082788303,0.019089813,0.033617754,0.056463114
2.4,0.220786926,0.010596197,0.074856153,0.139977078,0.026329047,0.035520719,0.074958097,0.018645403,0.032328071,0.050862256
2.45,0.222759887,0.010086185,0.073963462,0.130396541,0.024649234,0.031680908,0.077899892,0.018278098,0.031515259,0.045964234
2.5,0.225445443,0.009601069,0.076336356,0.121271714,0.025287753,0.031845263,0.080698138,0.017536646,0.030553688,0.043453396
2.55,0.235116658,0.009660213,0.08191583,0.112968165,0.025925352,0.031650027,0.082756586,0.018278144,0.029303544,0.044326068
2.6,0.251955946,0.009576975,0.085349841,0.105347572,0.026244717,0.030420817,0.083451692,0.018775442,0.028206497,0.047194229
2.65,0.274646829,0.009476206,0.085064309,0.100641973,0.026366485,0.028763687,0.083906346,0.019075677,0.027496525,0.049954421
2.7,0.293093378,0.009627772,0.081887667,0.098050482,0.026396236,0.026359066,0.084525675,0.01923332,0.026349677,0.050402232
2.75,0.303049956,0.009470987,0.076126648,0.097367355,0.026403703,0.024371601,0.083812394,0.019219576,0.024879741,0.049000535
2.8,0.307756754,0.008965481,0.068006626,0.098337405,0.026403781,0.023023526,0.081933225,0.019212329,0.023720858,0.049196576
2.85,0.316928097,0.008611336,0.060944278,0.100364522,0.026887917,0.022031171,0.079112097,0.019188558,0.022925289,0.047399272
2.9,0.335341078,0.008414476,0.057858371,0.103004645,0.028340097,0.020688495,0.075927299,0.019062397,0.021977587,0.045024405
2.95,0.345504463,0.007977137,0.057180614,0.105567712,0.029708115,0.018475915,0.071800596,0.019018506,0.020752776,0.044089623
3,0.338475928,0.007584175,0.055908839,0.107593592,0.030901866,0.016245871,0.066724765,0.01938504,0.019576524,0.044726476
3.05,0.327040848,0.007421075,0.053651237,0.108667286,0.031841282,0.016231455,0.061434671,0.01949484,0.018635328,0.046523481
3.1,0.318563384,0.007312863,0.051649669,0.108579693,0.032441013,0.016307576,0.055935294,0.019491546,0.01862134,0.04879624
3.15,0.309406787,0.007161554,0.051247221,0.107333776,0.032689627,0.016688629,0.051111938,0.019718937,0.018604094,0.050492176
3.2,0.297606443,0.006803081,0.053031493,0.104650975,0.032623114,0.01741252,0.048398494,0.019787735,0.018752312,0.050724965
3.25,0.281844736,0.006329703,0.056362363,0.101095662,0.032300506,0.018420014,0.046273151,0.019642517,0.018762589,0.0494036
3.3,0.268821305,0.005909105,0.060137001,0.096715597,0.03179516,0.019657946,0.044411656,0.019378959,0.018102689,0.046786506
3.35,0.25887301,0.005558072,0.062819116,0.091504719,0.031183855,0.020521323,0.042521457,0.019082013,0.016881251,0.043214059
3.4,0.246246474,0.005325948,0.062281251,0.085901915,0.031777954,0.020135503,0.04060076,0.018678108,0.015154324,0.03896392
3.45,0.226430982,0.005241031,0.057778644,0.08010659,0.032512436,0.019465137,0.038418336,0.018137904,0.014106715,0.036543678
3.5,0.202383403,0.00502563,0.051565118,0.074410603,0.033119726,0.017636887,0.036020486,0.018381756,0.013481862,0.034959151
3.55,0.180182167,0.004764184,0.049144301,0.068917749,0.033635708,0.015894724,0.033596494,0.018648834,0.012919454,0.033069476
3.6,0.162657505,0.0045357,0.046450477,0.063707184,0.034120934,0.014305933,0.031266966,0.018796831,0.012444623,0.030752062
3.65,0.149183208,0.004356152,0.043670952,0.059260793,0.034616463,0.013078801,0.029227473,0.018837385,0.012099129,0.028219452
3.7,0.137429581,0.004187988,0.041467584,0.055617755,0.035101524,0.012223844,0.02772454,0.018870954,0.011889684,0.02589432
3.75,0.125315588,0.003982665,0.040151028,0.052386895,0.035545525,0.01170007,0.026765136,0.018935511,0.011728723,0.023715354
3.8,0.115083519,0.003739719,0.038306103,0.04967322,0.035921894,0.011463047,0.026100723,0.018831567,0.011413358,0.021406011
3.85,0.111008791,0.003498965,0.036899129,0.049253176,0.036230021,0.011471563,0.025359892,0.018695854,0.010849361,0.019084312
3.9,0.106836113,0.003288852,0.036739828,0.049279855,0.036501931,0.011673575,0.024310369,0.01859641,0.010198831,0.017155179
